date,avg_monthly_price,price,year,month,month_name,quarter,season,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,diff_1,sin_month,cos_month,weight
2013-06-01,6270,8.74369111054302,2013,6,Jun,2,Monsoon,8.767173396684006,8.75273950944749,8.768729817231666,8.90598676523643,8.76288090778772,0.008817118659218236,-0.02348228614098602,1.2246467991473532e-16,-1.0,0.02732372244729257
2013-07-01,5896,8.682199026000504,2013,7,Jul,3,Monsoon,8.74369111054302,8.767173396684006,8.75273950944749,8.81195017753998,8.754534672224837,0.01184362265730045,-0.06149208454251642,-0.4999999999999997,-0.8660254037844388,0.02732372244729257
2013-08-01,6123,8.719970756777574,2013,8,Aug,3,Monsoon,8.682199026000504,8.74369111054302,8.767173396684006,8.83579236650274,8.73102117774251,0.04388116128978099,0.03777173077707019,-0.8660254037844385,-0.5000000000000004,0.02732372244729257
2013-09-01,6590,8.79346036105272,2013,9,Sep,3,Monsoon,8.719970756777574,8.682199026000504,8.74369111054302,8.864464055279676,8.715286964440367,0.03101245795382281,0.07348960427514584,-1.0,-1.8369701987210297e-16,0.02732372244729257
2013-10-01,7744,8.954802752850968,2013,10,Oct,4,Post-Monsoon,8.79346036105272,8.719970756777574,8.682199026000504,8.79497643168877,8.731876714610266,0.05657813220082531,0.16134239179824839,-0.8660254037844386,0.5000000000000001,0.02732372244729257
2013-11-01,11016,9.307194813340065,2013,11,Nov,4,Post-Monsoon,8.954802752850968,8.79346036105272,8.719970756777574,8.77971129020447,8.822744623560421,0.12012365553011714,0.35239206048909644,-0.5000000000000004,0.8660254037844384,0.02732372244729257
2013-12-01,10670,9.275285060616564,2013,12,Dec,4,Winter,9.307194813340065,8.954802752850968,8.79346036105272,8.760296220470051,9.018485975747918,0.2627212144567958,-0.03190975272350016,-2.4492935982947064e-16,1.0,0.02732372244729257
2014-01-01,10919,9.298351249298896,2014,1,Jan,1,Winter,9.275285060616564,9.307194813340065,8.954802752850968,8.766082459148864,9.179094208935867,0.1948962571067893,0.02306618868233201,0.49999999999999994,0.8660254037844387,0.036883167401240015
2014-02-01,9984,9.208839245849916,2014,2,Feb,1,Winter,9.298351249298896,9.275285060616564,9.307194813340065,8.746398334109042,9.293610374418508,0.016474677559764683,-0.08951200344898069,0.8660254037844386,0.5000000000000001,0.036883167401240015
2014-03-01,9783,9.188503677367008,2014,3,Mar,1,Summer,9.208839245849916,9.298351249298896,9.275285060616564,8.768729817231666,9.260825185255126,0.046474893081849586,-0.020335568482908073,1.0,6.123233995736766e-17,0.036883167401240015
2014-04-01,10175,9.227787285579904,2014,4,Apr,2,Summer,9.188503677367008,9.208839245849916,9.298351249298896,8.75273950944749,9.231898057505274,0.05844145669861411,0.039283608212896226,0.8660254037844387,-0.4999999999999998,0.036883167401240015
2014-05-01,10529,9.261983605128021,2014,5,May,2,Summer,9.227787285579904,9.188503677367008,9.208839245849916,8.767173396684006,9.208376736265608,0.019645887735036536,0.034196319548117415,0.49999999999999994,-0.8660254037844387,0.036883167401240015
2014-06-01,11228,9.326254996572539,2014,6,Jun,2,Monsoon,9.261983605128021,9.227787285579904,9.188503677367008,8.74369111054302,9.226091522691645,0.03676930315869486,0.06427139144451743,1.2246467991473532e-16,-1.0,0.036883167401240015
2014-07-01,10665,9.274816391160547,2014,7,Jul,3,Monsoon,9.326254996572539,9.261983605128021,9.227787285579904,8.682199026000504,9.272008629093486,0.049993483136997786,-0.051438605411991745,-0.4999999999999997,-0.8660254037844388,0.036883167401240015
