residual,date
0.04794894137777739,2014-12-01
0.03622710073794444,2015-01-01
-0.08799129766547331,2015-02-01
0.005033636251535967,2015-03-01
-0.004324541544203697,2015-04-01
-0.06541888748436975,2015-05-01
-0.06010076001797238,2015-06-01
-0.05686813034581384,2015-07-01
0.029376449606489885,2015-08-01
0.042481148914415456,2015-09-01
0.004675034913974585,2015-10-01
0.0038949183468837134,2015-11-01
-0.05699594376183015,2015-12-01
0.009076028278670378,2016-01-01
-0.0143251989269082,2016-02-01
0.04963753872372578,2016-03-01
-0.009030214130463676,2016-04-01
0.024127156862171262,2016-05-01
0.017078788045283844,2016-06-01
0.018988237637037386,2016-07-01
-0.01359633699092555,2016-08-01
0.04078966293203834,2016-09-01
0.05526595306140791,2016-10-01
-0.05191004264525212,2016-11-01
-0.06175408609355948,2016-12-01
-0.03408152208504056,2017-01-01
-0.030949033207122056,2017-02-01
0.00040219712231781557,2017-03-01
-0.021615968665512852,2017-04-01
-0.018568529056894434,2017-05-01
-0.028684307580430612,2017-06-01
-0.019447461627915885,2017-07-01
-0.02591041055187837,2017-08-01
0.046853017516975015,2017-09-01
0.0020404101023423493,2017-10-01
-0.02837591342234269,2017-11-01
-0.02790324301470548,2017-12-01
-0.0024261879498510552,2018-01-01
-0.03131137145063789,2018-02-01
-0.007051861245965796,2018-03-01
-0.01941067101488514,2018-04-01
0.019641015396778982,2018-05-01
-0.01952810523245141,2018-06-01
0.17027187768758445,2018-07-01
-0.05370516998939756,2018-08-01
-0.00794461514329825,2018-09-01
0.009661142885347473,2018-10-01
-0.05178243830902929,2018-11-01
-0.01680041851611236,2018-12-01
0.015213314517708909,2019-01-01
0.03799721807465595,2019-02-01
0.10064291635362643,2019-03-01
-0.022456010572316387,2019-04-01
-0.022147519872039112,2019-05-01
-0.006336570925443041,2019-06-01
0.00979477885213953,2019-07-01
0.07328594459610294,2019-08-01
0.049543011949623406,2019-09-01
0.048945627320525986,2019-10-01
0.09704630293289718,2019-11-01
-0.030866286223051986,2019-12-01
0.03904942886007845,2020-01-01
0.003452703122446721,2020-02-01
0.014655660420787697,2020-03-01
0.045289308751922164,2020-04-01
0.006307511161395496,2020-05-01
-0.078226500398074,2020-06-01
-0.03777016622026608,2020-07-01
0.006516852891795821,2020-08-01
0.060133479894236785,2020-09-01
-0.020494791294421333,2020-10-01
-0.018292796659615362,2020-11-01
-0.004591689735685023,2020-12-01
0.04966798140488926,2021-01-01
0.03608843379046078,2021-02-01
0.10333551713329392,2021-03-01
-0.11093567971742502,2021-04-01
0.0006422729456065923,2021-05-01
-0.7518115266504672,2021-06-01
-0.05742940624469384,2021-07-01
0.030958574576661846,2021-08-01
0.005909511049059901,2021-09-01
0.08291456508660211,2021-10-01
0.00652313725669984,2021-11-01
-0.022726329776043386,2021-12-01
0.026199503329833007,2022-01-01
-0.06973394981381276,2022-02-01
0.019505843402937373,2022-03-01
-0.02399237525060194,2022-04-01
0.03733844711818968,2022-05-01
0.11062860511337647,2022-06-01
0.036422670555433356,2022-07-01
0.08987194716573299,2022-08-01
0.07691224378954686,2022-09-01
0.03704438390928644,2022-10-01
-0.024924125410100473,2022-11-01
0.017001068897160465,2022-12-01
-0.07974847415839292,2023-01-01
-0.00847873805140864,2023-02-01
-0.009941110116507446,2023-03-01
0.000357042042626432,2023-04-01
0.022071221788680262,2023-05-01
0.02139592600131479,2023-06-01
0.012565975213924219,2023-07-01
0.00974827286013813,2023-08-01
0.005291412871985202,2023-09-01
0.030688962238425432,2023-10-01
0.14415196587315648,2023-11-01
0.6460229608741965,2023-12-01
-0.21874081439956505,2024-01-01
-0.016900825206336734,2024-02-01
0.1484933537377735,2024-03-01
0.03194569355621191,2024-04-01
-0.010663163794131236,2024-05-01
-0.019845946285334648,2024-06-01
-0.009886546143201613,2024-07-01
-0.000807529153666664,2024-08-01
-0.060888139483216364,2024-09-01
-0.041909991462835805,2024-10-01
-0.016619400585724975,2024-11-01
-0.09157312391485561,2024-12-01
-0.07579090491712748,2025-01-01
0.008253735686077235,2025-02-01
0.22705531612756147,2025-03-01
-0.008738682529878972,2025-04-01
-0.012330083528601321,2025-05-01
0.009352878923774455,2025-06-01
0.11485870196041681,2025-07-01
-0.06930723350948043,2025-08-01
0.0441528597481291,2025-09-01
